region,activity,sex,count
Чернівецька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,69
Чернівецька,Фінансова та страхова діяльність,Чоловіки,12
Чернівецька,"Професійна, наукова та технічна діяльність",Чоловіки,123
Чернівецька,Тимчасове розміщування й організація харчування,Жінки,41
Чернівецька,Надання інших видів послуг,Чоловіки,2771
Чернівецька,"Водопостачання; каналізація, поводження з відходами",Чоловіки,36
Чернівецька,Переробна промисловість,Чоловіки,409
Чернівецька,Охорона здоров'я та надання соціальної допомоги,Чоловіки,480
Чернівецька,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,340
Чернівецька,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,360
Чернівецька,Тимчасове розміщування й організація харчування,Чоловіки,45
Чернівецька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,570
Чернівецька,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,479
Чернівецька,Освіта,Жінки,621
Чернівецька,Переробна промисловість,Жінки,138
Чернівецька,Операції з нерухомим майном,Чоловіки,234
Чернівецька,Будівництво,Жінки,40
Чернівецька,"Професійна, наукова та технічна діяльність",Жінки,83
Чернівецька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,32
Чернівецька,"Сільське господарство, лісове господарство та рибне господарство",Жінки,127
Чернівецька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,260
Чернівецька,Освіта,Чоловіки,220
Чернівецька,"Мистецтво, спорт, розваги та відпочинок",Жінки,114
Чернівецька,Охорона здоров'я та надання соціальної допомоги,Жінки,340
Чернівецька,"Водопостачання; каналізація, поводження з відходами",Жінки,8
Чернівецька,Фінансова та страхова діяльність,Жінки,4
Чернівецька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,12
Чернівецька,Інформація та телекомунікації,Жінки,37
Чернівецька,Надання інших видів послуг,Жінки,973
Чернівецька,Інформація та телекомунікації,Чоловіки,101
Чернівецька,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,828
Чернівецька,Операції з нерухомим майном,Жінки,149
Чернівецька,Будівництво,Чоловіки,305
Чернівецька,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,103
Чернівецька,Добувна промисловість і розроблення кар'єрів,Чоловіки,26
Чернівецька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,270
Чернігівська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,72
Чернігівська,Добувна промисловість і розроблення кар'єрів,Жінки,4
Чернігівська,Освіта,Жінки,749
Чернігівська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,6
Чернігівська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,319
Чернігівська,Тимчасове розміщування й організація харчування,Жінки,79
Чернігівська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,39
Чернігівська,Операції з нерухомим майном,Чоловіки,294
Чернігівська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,231
Чернігівська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,422
Чернігівська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,90
Чернігівська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,366
Чернігівська,Освіта,Чоловіки,237
Чернігівська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,353
Чернігівська,"Водопостачання; каналізація, поводження з відходами",Жінки,18
Чернігівська,Операції з нерухомим майном,Жінки,209
Чернігівська,"Мистецтво, спорт, розваги та відпочинок",Жінки,143
Чернігівська,Будівництво,Жінки,62
Чернігівська,Переробна промисловість,Чоловіки,514
Чернігівська,Фінансова та страхова діяльність,Чоловіки,12
Чернігівська,Тимчасове розміщування й організація харчування,Чоловіки,53
Чернігівська,Охорона здоров'я та надання соціальної допомоги,Жінки,295
Чернігівська,Фінансова та страхова діяльність,Жінки,14
Чернігівська,"Професійна, наукова та технічна діяльність",Чоловіки,150
Чернігівська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,759
Чернігівська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,65
Чернігівська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1133
Чернігівська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,246
Чернігівська,"Професійна, наукова та технічна діяльність",Жінки,118
Чернігівська,Інформація та телекомунікації,Жінки,56
Чернігівська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,573
Чернігівська,Переробна промисловість,Жінки,169
Чернігівська,Добувна промисловість і розроблення кар'єрів,Чоловіки,6
Чернігівська,Інформація та телекомунікації,Чоловіки,107
Чернігівська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,651
Чернігівська,Будівництво,Чоловіки,235
Чернігівська,Надання інших видів послуг,Жінки,1237
Чернігівська,Надання інших видів послуг,Чоловіки,2404
Чернігівська,Діяльність домашніх господарств,Чоловіки,1
Київ,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,894
Київ,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,732
Київ,Переробна промисловість,Жінки,2059
Київ,"Сільське господарство, лісове господарство та рибне господарство",Жінки,237
Київ,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,323
Київ,Добувна промисловість і розроблення кар'єрів,Чоловіки,255
Київ,Переробна промисловість,Чоловіки,6152
Київ,Добувна промисловість і розроблення кар'єрів,Жінки,70
Київ,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,7876
Київ,"Професійна, наукова та технічна діяльність",Жінки,5023
Київ,Надання інших видів послуг,Жінки,7770
Київ,Охорона здоров'я та надання соціальної допомоги,Чоловіки,6278
Київ,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,3667
Київ,Діяльність домашніх господарств,Жінки,1
Київ,Діяльність екстериторіальних організацій і органів,Чоловіки,6
Київ,"Професійна, наукова та технічна діяльність",Чоловіки,8003
Київ,Надання інших видів послуг,Чоловіки,16824
Київ,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,540
Київ,Фінансова та страхова діяльність,Чоловіки,1385
Київ,Тимчасове розміщування й організація харчування,Чоловіки,1044
Київ,"Водопостачання; каналізація, поводження з відходами",Чоловіки,250
Київ,"Мистецтво, спорт, розваги та відпочинок",Жінки,384
Київ,Будівництво,Жінки,1586
Київ,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,1150
Київ,Освіта,Чоловіки,924
Київ,Фінансова та страхова діяльність,Жінки,720
Київ,Діяльність домашніх господарств,Чоловіки,5
Київ,Операції з нерухомим майном,Чоловіки,6127
Київ,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,2961
Київ,Інформація та телекомунікації,Жінки,2449
Київ,Освіта,Жінки,1883
Київ,"Водопостачання; каналізація, поводження з відходами",Жінки,83
Київ,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,313
Київ,Тимчасове розміщування й організація харчування,Жінки,972
Київ,Будівництво,Чоловіки,6529
Київ,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,18226
Київ,Охорона здоров'я та надання соціальної допомоги,Жінки,4014
Київ,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,661
Київ,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,5681
Київ,Інформація та телекомунікації,Чоловіки,5173
Київ,Операції з нерухомим майном,Жінки,4120
